protocol,seed,family,in_train,in_test,scored,recall,precision,support
capture-aware (file-proportion),161803,Spoofing,True,True,True,0.1377825618945102,0.10640066500415628,929
capture-aware (file-proportion),161803,Web-Based,True,True,True,0.28691275167785235,0.4723756906077348,596
capture-aware (size-matched),161803,Benign,True,False,False,,,0
capture-aware (size-matched),161803,Brute Force,True,False,False,,,0
capture-aware (size-matched),161803,DDOS,True,True,True,0.9462221477634445,0.6383363471971067,5969
capture-aware (size-matched),161803,DOS,True,True,True,0.856441351039754,0.9937078874355926,23419
capture-aware (size-matched),161803,Mirai,True,True,True,0.2509090909090909,0.3770491803278688,275
capture-aware (size-matched),161803,Recon,True,False,False,,,0
capture-aware (size-matched),161803,Spoofing,True,False,False,,,0
capture-aware (size-matched),161803,Web-Based,True,False,False,,,0
capture-aware (file-proportion),271828,Benign,True,False,False,,,0
capture-aware (file-proportion),271828,Brute Force,True,False,False,,,0
capture-aware (file-proportion),271828,DDOS,True,True,True,0.45344694035631294,0.5954027664768105,6455
capture-aware (file-proportion),271828,DOS,True,True,True,0.9428842805129017,0.8657267441860466,31585
capture-aware (file-proportion),271828,Mirai,True,True,True,0.31446540880503143,0.20491803278688525,318
capture-aware (file-proportion),271828,Recon,False,True,False,,,2717
capture-aware (file-proportion),271828,Spoofing,True,True,True,0.1496232508073197,0.3736559139784946,929
capture-aware (file-proportion),271828,Web-Based,True,True,True,0.28859060402684567,0.36210526315789476,596
capture-aware (size-matched),271828,Benign,True,False,False,,,0
capture-aware (size-matched),271828,Brute Force,True,False,False,,,0
capture-aware (size-matched),271828,DDOS,True,True,True,0.3819444444444444,0.08233532934131736,144
capture-aware (size-matched),271828,DOS,True,True,True,0.9717388416578109,0.9983963422956189,30112
capture-aware (size-matched),271828,Mirai,True,True,True,0.3050847457627119,0.32432432432432434,118
capture-aware (size-matched),271828,Recon,True,False,False,,,0
capture-aware (size-matched),271828,Spoofing,True,False,False,,,0
capture-aware (size-matched),271828,Web-Based,True,False,False,,,0
capture-aware (file-proportion),4,Benign,True,True,True,0.4028520499108734,0.6026666666666667,561
capture-aware (file-proportion),4,Brute Force,True,False,False,,,0
capture-aware (file-proportion),4,DDOS,True,True,True,0.9245861434702637,0.9019138755980861,6524
capture-aware (file-proportion),4,DOS,True,True,True,0.9248847240815112,0.9851857720034857,13446
capture-aware (file-proportion),4,Mirai,True,True,True,0.2489451476793249,0.15945945945945947,237
capture-aware (file-proportion),4,Recon,True,False,False,,,0
capture-aware (file-proportion),4,Spoofing,True,False,False,,,0
capture-aware (file-proportion),4,Web-Based,True,False,False,,,0
capture-aware (size-matched),4,Benign,True,True,True,0.4686192468619247,0.18122977346278318,239
capture-aware (size-matched),4,Brute Force,False,True,False,,,2000
capture-aware (size-matched),4,DDOS,True,True,True,0.5726626016260162,0.6205947136563876,1968
capture-aware (size-matched),4,DOS,True,True,True,0.967081979929219,0.9809205350118018,20627
capture-aware (size-matched),4,Mirai,True,True,True,0.2052980132450331,0.06783369803063458,151
capture-aware (size-matched),4,Recon,True,False,False,,,0
capture-aware (size-matched),4,Spoofing,True,False,False,,,0
capture-aware (size-matched),4,Web-Based,True,True,True,0.38235294117647056,0.15041322314049588,238
capture-aware (file-proportion),77,Benign,True,False,False,,,0
capture-aware (file-proportion),77,Brute Force,False,True,False,,,2000
capture-aware (file-proportion),77,DDOS,True,True,True,0.9432693884243318,0.5659616330545991,6099
capture-aware (file-proportion),77,DOS,True,True,True,0.8933509855839953,0.9890611004044407,40788
capture-aware (file-proportion),77,Mirai,True,True,True,0.3730769230769231,0.19595959595959597,260
capture-aware (file-proportion),77,Recon,True,False,False,,,0
capture-aware (file-proportion),77,Spoofing,True,True,True,0.15126050420168066,0.16216216216216217,952
capture-aware (file-proportion),77,Web-Based,True,True,True,0.31711409395973156,0.2867981790591806,596
capture-aware (size-matched),77,Benign,True,False,False,,,0
capture-aware (size-matched),77,Brute Force,True,False,False,,,0
capture-aware (size-matched),77,DDOS,True,True,True,0.45170151075843124,0.7910208444681989,6553
capture-aware (size-matched),77,DOS,True,True,True,0.9684146833400564,0.8771282426013883,24790
capture-aware (size-matched),77,Mirai,True,True,True,0.20868113522537562,0.4152823920265781,599
capture-aware (size-matched),77,Recon,True,False,False,,,0
capture-aware (size-matched),77,Spoofing,True,False,False,,,0
capture-aware (size-matched),77,Web-Based,True,True,True,0.04436450839328537,0.3135593220338983,834
capture-aware (file-proportion),900,Benign,True,False,False,,,0
capture-aware (file-proportion),900,Brute Force,True,False,False,,,0
capture-aware (file-proportion),900,DDOS,True,True,True,0.8362637362637363,0.9246658566221142,3640
capture-aware (file-proportion),900,DOS,True,True,True,0.9774151005605012,0.9762081172305919,12132
capture-aware (file-proportion),900,Mirai,True,True,True,0.2126865671641791,0.4222222222222222,536
capture-aware (file-proportion),900,Recon,True,False,False,,,0
capture-aware (file-proportion),900,Spoofing,True,True,True,0.29411764705882354,0.2147239263803681,119
capture-aware (file-proportion),900,Web-Based,True,False,False,,,0
capture-aware (size-matched),900,Benign,True,False,False,,,0
capture-aware (size-matched),900,Brute Force,True,False,False,,,0
capture-aware (size-matched),900,DDOS,True,True,True,0.5029239766081871,0.08090310442144873,171
capture-aware (size-matched),900,DOS,True,True,True,0.9722702337115804,0.9449658547273856,26614
capture-aware (size-matched),900,Mirai,True,True,True,0.3076923076923077,0.10126582278481013,52
capture-aware (size-matched),900,Recon,False,True,False,,,2717
capture-aware (size-matched),900,Spoofing,True,False,False,,,0
capture-aware (size-matched),900,Web-Based,True,True,True,0.02830188679245283,0.308411214953271,1166
capture-aware (file-proportion),12321,Benign,True,True,True,0.4442307692307692,0.5775,520
capture-aware (file-proportion),12321,Brute Force,True,False,False,,,0
capture-aware (file-proportion),12321,DDOS,True,True,True,0.8833227647431833,0.8833227647431833,3154
capture-aware (file-proportion),12321,DOS,True,True,True,0.9755740657361549,0.9838801226018844,17768
capture-aware (file-proportion),12321,Mirai,True,True,True,0.23011844331641285,0.4755244755244755,591
capture-aware (file-proportion),12321,Recon,True,False,False,,,0
capture-aware (file-proportion),12321,Spoofing,True,True,True,0.31932773109243695,0.1450381679389313,119
capture-aware (file-proportion),12321,Web-Based,True,True,True,0.3319327731092437,0.4030612244897959,238
capture-aware (size-matched),12321,Benign,True,False,False,,,0
capture-aware (size-matched),12321,Brute Force,True,False,False,,,0
capture-aware (size-matched),12321,DDOS,True,True,True,0.9020080321285141,0.3449017199017199,1245
capture-aware (size-matched),12321,DOS,True,True,True,0.9264214046822743,0.9626247828012674,30498
capture-aware (size-matched),12321,Mirai,True,True,True,0.28846153846153844,0.08152173913043478,52
capture-aware (size-matched),12321,Recon,False,True,False,,,2717
capture-aware (size-matched),12321,Spoofing,True,False,False,,,0
capture-aware (size-matched),12321,Web-Based,True,False,False,,,0
capture-aware (file-proportion),5150,Benign,True,True,True,0.2240921169176262,0.5763097949886105,1129
capture-aware (file-proportion),5150,Brute Force,True,False,False,,,0
capture-aware (file-proportion),5150,DDOS,True,True,True,0.42492917847025496,0.8364312267657993,6354
capture-aware (file-proportion),5150,DOS,True,True,True,0.9686996238581408,0.8130108799819606,14888
capture-aware (file-proportion),5150,Mirai,True,True,True,0.2694610778443114,0.21428571428571427,334
capture-aware (file-proportion),5150,Recon,True,False,False,,,0
capture-aware (file-proportion),5150,Spoofing,True,False,False,,,0
capture-aware (file-proportion),5150,Web-Based,True,True,True,0.25838926174496646,0.6086956521739131,596
capture-aware (size-matched),5150,Benign,True,False,False,,,0
capture-aware (size-matched),5150,Brute Force,True,False,False,,,0
capture-aware (size-matched),5150,DDOS,True,True,True,0.5573797406008866,0.47409579667644186,6091
capture-aware (size-matched),5150,DOS,True,True,True,0.8000743846361915,0.9232900230207968,29576
capture-aware (size-matched),5150,Mirai,True,True,True,0.3945945945945946,0.07588357588357589,185
capture-aware (size-matched),5150,Recon,True,False,False,,,0
capture-aware (size-matched),5150,Spoofing,True,False,False,,,0
capture-aware (size-matched),5150,Web-Based,True,False,False,,,0
