protocol,seed,max_depth,single_class_test,mean_realised_depth,test_rows,accuracy,f1_macro,benign_recall,benign_precision,attack_recall,roc_auc,FP,FN
random,99,None,False,60.4,25172,0.9806928333068489,0.683558786464121,0.3,0.506896551724138,0.9942063041892878,0.9585456806497009,343,143
capture-aware (file-proportion),99,6,True,6.0,37442,0.8392714064419635,0.45630645020764965,,,0.8392714064419635,,0,6018
capture-aware (file-proportion),99,10,True,10.0,37442,0.9355269483467763,0.4833448323444184,,,0.9355269483467763,,0,2414
capture-aware (file-proportion),99,12,True,12.0,37442,0.9676833502483841,0.49178814778619323,,,0.9676833502483841,,0,1210
capture-aware (file-proportion),99,20,True,20.0,37442,0.9864056407243202,0.4965781512605042,,,0.9864056407243202,,0,509
capture-aware (file-proportion),99,25,True,25.0,37442,0.9909459964745473,0.4977262056475954,,,0.9909459964745473,,0,339
capture-aware (file-proportion),99,30,True,30.0,37442,0.9938838737246942,0.4984662782131137,,,0.9938838737246942,,0,229
capture-aware (file-proportion),99,None,True,57.8,37442,0.9977031141498851,0.49942511831867165,,,0.9977031141498851,,0,86
capture-aware (size-matched),99,6,False,6.0,25728,0.7311489427860697,0.5379330200560852,0.9627989371124889,0.13652348656116553,0.7205170941908208,0.8829317559230213,42,6875
capture-aware (size-matched),99,10,False,10.0,25728,0.7996346393034826,0.5745748128694514,0.8237378210806023,0.1580020387359837,0.7985283954632302,0.8857828551363336,199,4956
capture-aware (size-matched),99,12,False,12.0,25728,0.8325559701492538,0.5892075772509905,0.7165633303808681,0.16864707108609547,0.8378795886011626,0.8810280585264345,320,3988
capture-aware (size-matched),99,20,False,20.0,25728,0.8884872512437811,0.6019213466025944,0.4561558901682905,0.18592057761732853,0.9083296068945892,0.8437109446325077,614,2255
capture-aware (size-matched),99,25,False,25.0,25728,0.9145677860696517,0.6195384837962963,0.3870682019486271,0.2249099330931549,0.9387779991056547,0.8136630778231999,692,1506
capture-aware (size-matched),99,30,False,30.0,25728,0.929726368159204,0.628111441694893,0.33215234720992026,0.2624212736179146,0.9571527297857636,0.7383956825136844,754,1054
capture-aware (size-matched),99,None,False,51.1,25728,0.9426694651741293,0.6176217673621304,0.23560673162090345,0.30296127562642367,0.9751209398756047,0.6878277617267958,863,612
random,555,6,False,6.0,25172,0.8722787223899571,0.5808826618088238,0.9877551020408163,0.13105875981586787,0.8699862247791913,0.9615715575590903,6,3209
random,555,10,False,10.0,25172,0.9141506435722231,0.6273451188267618,0.9469387755102041,0.17853020392458638,0.9134997163925128,0.9692806374636395,26,2135
random,555,12,False,12.0,25172,0.9267042745908152,0.6450411386451504,0.9224489795918367,0.20008853474988933,0.9267887529373633,0.9711469897090999,38,1807
random,555,20,False,20.0,25172,0.9514937231844907,0.6852880853924753,0.8163265306122449,0.2612671456564337,0.9541771331334575,0.9735733220441569,90,1131
random,555,25,False,25.0,25172,0.960789766407119,0.6976724328486008,0.7163265306122449,0.292743953294412,0.9656429786889231,0.9736502185348656,139,848
random,555,30,False,30.0,25172,0.9720721436516765,0.7259360240639721,0.6265306122448979,0.37122128174123337,0.9789320152337736,0.9758275468035039,183,520
random,555,None,False,61.3,25172,0.9820832671221993,0.7160178594553847,0.363265306122449,0.5615141955835962,0.9943683656105664,0.9665285699402524,312,139
capture-aware (file-proportion),555,6,False,6.0,21375,0.9410994152046783,0.8358408785472817,0.8875739644970414,0.5838847800700662,0.9456946913893828,0.9743370361296936,190,1069
capture-aware (file-proportion),555,10,False,10.0,21375,0.9442807017543859,0.8148297204436754,0.6840236686390533,0.6376172090457805,0.9666243332486665,0.9752582463744808,534,657
capture-aware (file-proportion),555,12,False,12.0,21375,0.9444678362573099,0.8035237073552541,0.6165680473372781,0.6590765338393422,0.9726187452374905,0.9681557158380589,648,539
capture-aware (file-proportion),555,20,False,20.0,21375,0.9425029239766082,0.7594715046495057,0.4437869822485207,0.7218479307025987,0.9853187706375413,0.9494156184762073,940,289
capture-aware (file-proportion),555,25,False,25.0,21375,0.9421754385964912,0.7176465805349179,0.31893491124260354,0.8637820512820513,0.9956819913639827,0.9009559136278036,1151,85
capture-aware (file-proportion),555,30,False,30.0,21375,0.936233918128655,0.6603976137760154,0.22130177514792898,0.8883610451306413,0.9976123952247905,0.8857388033119261,1316,47
capture-aware (file-proportion),555,None,False,56.0,21375,0.9271578947368421,0.5599278364096959,0.0863905325443787,0.9182389937106918,0.9993395986791973,0.8233477567546851,1544,13
capture-aware (size-matched),555,6,False,6.0,32390,0.9050941648656993,0.5412096404732193,0.9832635983263598,0.07110438729198185,0.9045130789088986,0.9588444381630665,4,3070
capture-aware (size-matched),555,10,False,10.0,32390,0.927817227539364,0.5618457410064297,0.9414225941422594,0.08826990976853669,0.92771608970172,0.965574318569189,14,2324
capture-aware (size-matched),555,12,False,12.0,32390,0.940660697746218,0.5739254641721009,0.8744769874476988,0.09947643979057591,0.9411526857640509,0.9657759039490564,30,1892
capture-aware (size-matched),555,20,False,20.0,32390,0.9588761963569002,0.5858139769307201,0.6652719665271967,0.11268603827072998,0.9610587540045411,0.9658575661994544,80,1252
capture-aware (size-matched),555,25,False,25.0,32390,0.9655140475455387,0.5855994021757812,0.5439330543933054,0.11423550087873462,0.968647942521228,0.9673361409530785,109,1008
capture-aware (size-matched),555,30,False,30.0,32390,0.9708552022229083,0.5849818734560758,0.4476987447698745,0.11643090315560392,0.974744175919878,0.9682758099235966,132,812
capture-aware (size-matched),555,None,False,58.7,32390,0.9834825563445508,0.5995308622716782,0.2928870292887029,0.16055045871559634,0.9886162172249697,0.9658952414528255,169,366
random,8,6,False,6.0,25172,0.8843556332432861,0.5928725233874955,0.9816326530612245,0.14218149571386343,0.8824244388623288,0.9628892988197629,9,2902
random,8,10,False,10.0,25172,0.9166931511202924,0.6291639089668312,0.9285714285714286,0.18077075883988875,0.9164573373308484,0.9711058128785912,35,2062
random,8,12,False,12.0,25172,0.9305577625933577,0.6493631334100791,0.9,0.2060747663551402,0.9311644113118872,0.971177045487995,49,1699
random,8,20,False,20.0,25172,0.9558239313522962,0.6930967001940366,0.7857142857142857,0.2765804597701149,0.9592010371930961,0.9739392418502122,105,1007
random,8,25,False,25.0,25172,0.9655172413793104,0.7118254552974782,0.7,0.3223684210526316,0.9707884288145207,0.9751601183379112,147,721
random,8,30,False,30.0,25172,0.9766009852216748,0.7403515212911446,0.5836734693877551,0.4262295081967213,0.9844015882019286,0.9746102670871444,204,385
random,8,None,False,60.8,25172,0.9819640870808836,0.6990767087271401,0.3183673469387755,0.5652173913043478,0.99513815736164,0.9585941337072873,334,120
capture-aware (file-proportion),8,6,False,6.0,14603,0.828802300897076,0.7342320762603358,0.8983050847457628,0.42357642357642356,0.8184821077467558,0.9341606986943221,192,2308
capture-aware (file-proportion),8,10,False,10.0,14603,0.895843319865781,0.7915202539201034,0.7288135593220338,0.5769392033542977,0.9206449075894613,0.9322486286715943,512,1009
capture-aware (file-proportion),8,12,False,12.0,14603,0.9046086420598507,0.7949091481976914,0.670021186440678,0.6216216216216216,0.939441604404247,0.9282757128241701,623,770
capture-aware (file-proportion),8,20,False,20.0,14603,0.8979661713346573,0.7227469079264384,0.3983050847457627,0.6799276672694394,0.9721588674793551,0.9137878489972473,1136,354
capture-aware (file-proportion),8,25,False,25.0,14603,0.8988563993699925,0.6865720893257944,0.2934322033898305,0.7948350071736011,0.9887534408179316,0.891041168178516,1334,143
capture-aware (file-proportion),8,30,False,30.0,14603,0.8924193658837225,0.6349361134184441,0.2033898305084746,0.8514412416851441,0.9947306331104994,0.8572323826789392,1504,67
capture-aware (file-proportion),8,None,False,54.5,14603,0.8781072382387181,0.5279660949234637,0.06514830508474577,0.8913043478260869,0.9988202909948879,0.76837805008098,1765,15
capture-aware (size-matched),8,6,False,6.0,26252,0.864467469145208,0.6438326804048942,0.9398704902867715,0.22532712353071635,0.8612291923245005,0.9405427284405197,65,3493
capture-aware (size-matched),8,10,False,10.0,26252,0.9027502666463507,0.6834154771357265,0.8547641073080481,0.2783132530120482,0.9048110921298319,0.9459198618911951,157,2396
capture-aware (size-matched),8,12,False,12.0,26252,0.9120067042511046,0.6885800717276086,0.7890841813135985,0.2906303236797274,0.917285765364904,0.9475934101954473,228,2082
capture-aware (size-matched),8,20,False,20.0,26252,0.9370714612220021,0.7008503163923054,0.5883441258094357,0.3450895279435703,0.9520479917365222,0.9487609469085295,445,1207
capture-aware (size-matched),8,25,False,25.0,26252,0.9492610086850526,0.7037971556867206,0.4727104532839963,0.401413982717989,0.9697270668626594,0.9467309468177537,570,762
