task,seed,variant,depth,n_features,accuracy,f1_macro,benign_recall
multiclass,31337,no_ports,None,70,0.9027888129667885,0.5716234931536376,
multiclass,31337,no_timing_pair,None,70,0.9113300492610837,0.5923787850384579,
multiclass,31337,no_arbitrary_pair,None,70,0.9125615763546798,0.5967937625890299,
multiclass,1,full,None,72,0.9159780708723979,0.6177714976313671,
multiclass,1,no_ports,None,70,0.9057683139996822,0.5928071110534384,
multiclass,1,no_timing_pair,None,70,0.9149054505005562,0.6149512154183012,
multiclass,1,no_arbitrary_pair,None,70,0.9165739710789766,0.6183161822163832,
multiclass,99,full,None,72,0.914547910376609,0.6106416935556928,
multiclass,99,no_ports,None,70,0.9046559669474019,0.5885675524594691,
multiclass,99,no_timing_pair,None,70,0.9142300969331003,0.6119918497548364,
multiclass,99,no_arbitrary_pair,None,70,0.9150246305418719,0.6111239925579055,
multiclass,555,full,None,72,0.9158588908310822,0.6098686142872412,
multiclass,555,no_ports,None,70,0.9051724137931034,0.5844717598733271,
multiclass,555,no_timing_pair,None,70,0.9158588908310822,0.6111965487859279,
multiclass,555,no_arbitrary_pair,None,70,0.9151835372636262,0.606462328613204,
multiclass,8,full,None,72,0.9143095502939774,0.609385294405521,
multiclass,8,no_ports,None,70,0.905212140473542,0.5879326763974757,
multiclass,8,no_timing_pair,None,70,0.9137533767678373,0.6090815591742478,
multiclass,8,no_arbitrary_pair,None,70,0.9147862704592404,0.6100356035362887,
multiclass,2718,full,None,72,0.9167726044811696,0.6236563569750205,
multiclass,2718,no_ports,None,70,0.9062847608453838,0.5939605444436786,
multiclass,2718,no_timing_pair,None,70,0.9161767042745909,0.6243177745141101,
multiclass,2718,no_arbitrary_pair,None,70,0.9164150643572223,0.6219544767678153,
multiclass,31415,full,None,72,0.9154616240266963,0.6174630063791209,
multiclass,31415,no_ports,None,70,0.9065231209280152,0.5961537111355713,
multiclass,31415,no_timing_pair,None,70,0.9142300969331003,0.6147240337909827,
multiclass,31415,no_arbitrary_pair,None,70,0.9151438105831877,0.6148910559121696,
multiclass,161803,full,None,72,0.9168917845224853,0.6207237445415967,
multiclass,161803,no_ports,None,70,0.9071984744954712,0.5949095258980127,
multiclass,161803,no_timing_pair,None,70,0.9163753376767837,0.6177904135442269,
multiclass,161803,no_arbitrary_pair,None,70,0.9174876847290641,0.622746915993937,
multiclass,271828,full,None,72,0.9153821706658192,0.6172159215501414,
multiclass,271828,no_ports,None,70,0.9062053074845066,0.5952469300120666,
multiclass,271828,no_timing_pair,None,70,0.9147862704592404,0.6153281102628383,
multiclass,271828,no_arbitrary_pair,None,70,0.9155808040680121,0.6181229212124293,
multiclass,4,full,None,72,0.9136739234069601,0.60858918718193,
multiclass,4,no_ports,None,70,0.9033052598124901,0.581920743640713,
multiclass,4,no_timing_pair,None,70,0.913872556809153,0.607645952697651,
multiclass,4,no_arbitrary_pair,None,70,0.9146670904179247,0.6094382061342973,
multiclass,77,full,None,72,0.9137136500873987,0.6076458302685248,
multiclass,77,no_ports,None,70,0.9035833465755602,0.5843500629398127,
multiclass,77,no_timing_pair,None,70,0.9128793897981885,0.6073228997262696,
multiclass,77,no_arbitrary_pair,None,70,0.913594470046083,0.6071226113420911,
